sample_id,image_id,image_path,target_name,target,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Sampling_Date
ID686797154__Dry_Clover_g,ID686797154,train/ID686797154.jpg,Dry_Clover_g,3.5026,Tas,Ryegrass_Clover,0.8,2.5,2015/9/3
ID686797154__Dry_Dead_g,ID686797154,train/ID686797154.jpg,Dry_Dead_g,5.2539,Tas,Ryegrass_Clover,0.8,2.5,2015/9/3
ID686797154__Dry_Green_g,ID686797154,train/ID686797154.jpg,Dry_Green_g,23.6424,Tas,Ryegrass_Clover,0.8,2.5,2015/9/3
ID686797154__Dry_Total_g,ID686797154,train/ID686797154.jpg,Dry_Total_g,32.3988,Tas,Ryegrass_Clover,0.8,2.5,2015/9/3
ID686797154__GDM_g,ID686797154,train/ID686797154.jpg,GDM_g,27.145,Tas,Ryegrass_Clover,0.8,2.5,2015/9/3
ID1675365449__Dry_Clover_g,ID1675365449,train/ID1675365449.jpg,Dry_Clover_g,1.4833,Vic,Phalaris_Clover,0.79,16.0,2015/9/30
ID1675365449__Dry_Dead_g,ID1675365449,train/ID1675365449.jpg,Dry_Dead_g,12.2372,Vic,Phalaris_Clover,0.79,16.0,2015/9/30
ID1675365449__Dry_Green_g,ID1675365449,train/ID1675365449.jpg,Dry_Green_g,89.7395,Vic,Phalaris_Clover,0.79,16.0,2015/9/30
ID1675365449__Dry_Total_g,ID1675365449,train/ID1675365449.jpg,Dry_Total_g,103.46,Vic,Phalaris_Clover,0.79,16.0,2015/9/30
ID1675365449__GDM_g,ID1675365449,train/ID1675365449.jpg,GDM_g,91.2228,Vic,Phalaris_Clover,0.79,16.0,2015/9/30
ID61833032__Dry_Clover_g,ID61833032,train/ID61833032.jpg,Dry_Clover_g,0.0,Vic,Phalaris_Clover,0.8,4.8,2015/6/30
ID61833032__Dry_Dead_g,ID61833032,train/ID61833032.jpg,Dry_Dead_g,19.6123,Vic,Phalaris_Clover,0.8,4.8,2015/6/30
ID61833032__Dry_Green_g,ID61833032,train/ID61833032.jpg,Dry_Green_g,41.4877,Vic,Phalaris_Clover,0.8,4.8,2015/6/30
ID61833032__Dry_Total_g,ID61833032,train/ID61833032.jpg,Dry_Total_g,61.1,Vic,Phalaris_Clover,0.8,4.8,2015/6/30
ID61833032__GDM_g,ID61833032,train/ID61833032.jpg,GDM_g,41.4877,Vic,Phalaris_Clover,0.8,4.8,2015/6/30
ID534966093__Dry_Clover_g,ID534966093,train/ID534966093.jpg,Dry_Clover_g,7.6364,Vic,Ryegrass_Clover,0.75,4.0,2015/8/14
ID534966093__Dry_Dead_g,ID534966093,train/ID534966093.jpg,Dry_Dead_g,7.6364,Vic,Ryegrass_Clover,0.75,4.0,2015/8/14
ID534966093__Dry_Green_g,ID534966093,train/ID534966093.jpg,Dry_Green_g,26.7273,Vic,Ryegrass_Clover,0.75,4.0,2015/8/14
ID534966093__Dry_Total_g,ID534966093,train/ID534966093.jpg,Dry_Total_g,42.0,Vic,Ryegrass_Clover,0.75,4.0,2015/8/14
ID534966093__GDM_g,ID534966093,train/ID534966093.jpg,GDM_g,34.3636,Vic,Ryegrass_Clover,0.75,4.0,2015/8/14
ID1291116815__Dry_Clover_g,ID1291116815,train/ID1291116815.jpg,Dry_Clover_g,1.24,Vic,Ryegrass_Clover,0.76,3.0,2015/7/2
ID1291116815__Dry_Dead_g,ID1291116815,train/ID1291116815.jpg,Dry_Dead_g,3.72,Vic,Ryegrass_Clover,0.76,3.0,2015/7/2
ID1291116815__Dry_Green_g,ID1291116815,train/ID1291116815.jpg,Dry_Green_g,19.84,Vic,Ryegrass_Clover,0.76,3.0,2015/7/2
ID1291116815__Dry_Total_g,ID1291116815,train/ID1291116815.jpg,Dry_Total_g,24.8,Vic,Ryegrass_Clover,0.76,3.0,2015/7/2
ID1291116815__GDM_g,ID1291116815,train/ID1291116815.jpg,GDM_g,21.08,Vic,Ryegrass_Clover,0.76,3.0,2015/7/2
ID1437386574__Dry_Clover_g,ID1437386574,train/ID1437386574.jpg,Dry_Clover_g,5.0001,Vic,Phalaris_Clover,0.75,6.0,2015/9/30
ID1437386574__Dry_Dead_g,ID1437386574,train/ID1437386574.jpg,Dry_Dead_g,3.7122,Vic,Phalaris_Clover,0.75,6.0,2015/9/30
ID1437386574__Dry_Green_g,ID1437386574,train/ID1437386574.jpg,Dry_Green_g,44.1677,Vic,Phalaris_Clover,0.75,6.0,2015/9/30
ID1437386574__Dry_Total_g,ID1437386574,train/ID1437386574.jpg,Dry_Total_g,52.88,Vic,Phalaris_Clover,0.75,6.0,2015/9/30
ID1437386574__GDM_g,ID1437386574,train/ID1437386574.jpg,GDM_g,49.1678,Vic,Phalaris_Clover,0.75,6.0,2015/9/30
ID1993907137__Dry_Clover_g,ID1993907137,train/ID1993907137.jpg,Dry_Clover_g,0.1834,Tas,Ryegrass,0.5,3.0,2015/5/18
ID1993907137__Dry_Dead_g,ID1993907137,train/ID1993907137.jpg,Dry_Dead_g,12.8356,Tas,Ryegrass,0.5,3.0,2015/5/18
ID1993907137__Dry_Green_g,ID1993907137,train/ID1993907137.jpg,Dry_Green_g,15.9528,Tas,Ryegrass,0.5,3.0,2015/5/18
ID1993907137__Dry_Total_g,ID1993907137,train/ID1993907137.jpg,Dry_Total_g,28.9718,Tas,Ryegrass,0.5,3.0,2015/5/18
ID1993907137__GDM_g,ID1993907137,train/ID1993907137.jpg,GDM_g,16.1362,Tas,Ryegrass,0.5,3.0,2015/5/18
ID1036339023__Dry_Clover_g,ID1036339023,train/ID1036339023.jpg,Dry_Clover_g,23.0755,Vic,Phalaris_Clover,0.82,7.0,2015/9/30
ID1036339023__Dry_Dead_g,ID1036339023,train/ID1036339023.jpg,Dry_Dead_g,2.6135,Vic,Phalaris_Clover,0.82,7.0,2015/9/30
ID1036339023__Dry_Green_g,ID1036339023,train/ID1036339023.jpg,Dry_Green_g,32.191,Vic,Phalaris_Clover,0.82,7.0,2015/9/30
ID1036339023__Dry_Total_g,ID1036339023,train/ID1036339023.jpg,Dry_Total_g,57.88,Vic,Phalaris_Clover,0.82,7.0,2015/9/30
ID1036339023__GDM_g,ID1036339023,train/ID1036339023.jpg,GDM_g,55.2665,Vic,Phalaris_Clover,0.82,7.0,2015/9/30
ID1962197151__Dry_Clover_g,ID1962197151,train/ID1962197151.jpg,Dry_Clover_g,0.0,NSW,Lucerne,0.72,35.0,2015/4/1
ID1962197151__Dry_Dead_g,ID1962197151,train/ID1962197151.jpg,Dry_Dead_g,0.0,NSW,Lucerne,0.72,35.0,2015/4/1
ID1962197151__Dry_Green_g,ID1962197151,train/ID1962197151.jpg,Dry_Green_g,22.0,NSW,Lucerne,0.72,35.0,2015/4/1
ID1962197151__Dry_Total_g,ID1962197151,train/ID1962197151.jpg,Dry_Total_g,22.0,NSW,Lucerne,0.72,35.0,2015/4/1
ID1962197151__GDM_g,ID1962197151,train/ID1962197151.jpg,GDM_g,22.0,NSW,Lucerne,0.72,35.0,2015/4/1
ID471758347__Dry_Clover_g,ID471758347,train/ID471758347.jpg,Dry_Clover_g,0.0,Vic,Phalaris_Clover,0.74,6.0,2015/8/14
ID471758347__Dry_Dead_g,ID471758347,train/ID471758347.jpg,Dry_Dead_g,3.3222,Vic,Phalaris_Clover,0.74,6.0,2015/8/14
ID471758347__Dry_Green_g,ID471758347,train/ID471758347.jpg,Dry_Green_g,26.5778,Vic,Phalaris_Clover,0.74,6.0,2015/8/14
ID471758347__Dry_Total_g,ID471758347,train/ID471758347.jpg,Dry_Total_g,29.9,Vic,Phalaris_Clover,0.74,6.0,2015/8/14
ID471758347__GDM_g,ID471758347,train/ID471758347.jpg,GDM_g,26.5778,Vic,Phalaris_Clover,0.74,6.0,2015/8/14
ID212206250__Dry_Clover_g,ID212206250,train/ID212206250.jpg,Dry_Clover_g,7.32,WA,Clover,0.3,1.0,2015/7/8
ID212206250__Dry_Dead_g,ID212206250,train/ID212206250.jpg,Dry_Dead_g,0.0,WA,Clover,0.3,1.0,2015/7/8
ID212206250__Dry_Green_g,ID212206250,train/ID212206250.jpg,Dry_Green_g,2.4,WA,Clover,0.3,1.0,2015/7/8
ID212206250__Dry_Total_g,ID212206250,train/ID212206250.jpg,Dry_Total_g,9.72,WA,Clover,0.3,1.0,2015/7/8
ID212206250__GDM_g,ID212206250,train/ID212206250.jpg,GDM_g,9.72,WA,Clover,0.3,1.0,2015/7/8
ID353424190__Dry_Clover_g,ID353424190,train/ID353424190.jpg,Dry_Clover_g,0.0,NSW,Fescue,0.41,6.0,2015/2/25
ID353424190__Dry_Dead_g,ID353424190,train/ID353424190.jpg,Dry_Dead_g,6.2143,NSW,Fescue,0.41,6.0,2015/2/25
ID353424190__Dry_Green_g,ID353424190,train/ID353424190.jpg,Dry_Green_g,22.7857,NSW,Fescue,0.41,6.0,2015/2/25
ID353424190__Dry_Total_g,ID353424190,train/ID353424190.jpg,Dry_Total_g,29.0,NSW,Fescue,0.41,6.0,2015/2/25
ID353424190__GDM_g,ID353424190,train/ID353424190.jpg,GDM_g,22.7857,NSW,Fescue,0.41,6.0,2015/2/25
ID1374789439__Dry_Clover_g,ID1374789439,train/ID1374789439.jpg,Dry_Clover_g,1.3556,Vic,Phalaris_Clover,0.74,4.0,2015/7/1
ID1374789439__Dry_Dead_g,ID1374789439,train/ID1374789439.jpg,Dry_Dead_g,1.3556,Vic,Phalaris_Clover,0.74,4.0,2015/7/1
ID1374789439__Dry_Green_g,ID1374789439,train/ID1374789439.jpg,Dry_Green_g,21.6889,Vic,Phalaris_Clover,0.74,4.0,2015/7/1
ID1374789439__Dry_Total_g,ID1374789439,train/ID1374789439.jpg,Dry_Total_g,24.4,Vic,Phalaris_Clover,0.74,4.0,2015/7/1
ID1374789439__GDM_g,ID1374789439,train/ID1374789439.jpg,GDM_g,23.0444,Vic,Phalaris_Clover,0.74,4.0,2015/7/1
ID1421714468__Dry_Clover_g,ID1421714468,train/ID1421714468.jpg,Dry_Clover_g,0.0,Tas,Ryegrass_Clover,0.85,4.5,2015/9/4
ID1421714468__Dry_Dead_g,ID1421714468,train/ID1421714468.jpg,Dry_Dead_g,36.581,Tas,Ryegrass_Clover,0.85,4.5,2015/9/4
ID1421714468__Dry_Green_g,ID1421714468,train/ID1421714468.jpg,Dry_Green_g,26.6001,Tas,Ryegrass_Clover,0.85,4.5,2015/9/4
ID1421714468__Dry_Total_g,ID1421714468,train/ID1421714468.jpg,Dry_Total_g,63.1811,Tas,Ryegrass_Clover,0.85,4.5,2015/9/4
ID1421714468__GDM_g,ID1421714468,train/ID1421714468.jpg,GDM_g,26.6,Tas,Ryegrass_Clover,0.85,4.5,2015/9/4
ID1693880739__Dry_Clover_g,ID1693880739,train/ID1693880739.jpg,Dry_Clover_g,0.0,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,2015/6/26
ID1693880739__Dry_Dead_g,ID1693880739,train/ID1693880739.jpg,Dry_Dead_g,4.7385,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,2015/6/26
ID1693880739__Dry_Green_g,ID1693880739,train/ID1693880739.jpg,Dry_Green_g,30.4615,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,2015/6/26
ID1693880739__Dry_Total_g,ID1693880739,train/ID1693880739.jpg,Dry_Total_g,35.2,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,2015/6/26
ID1693880739__GDM_g,ID1693880739,train/ID1693880739.jpg,GDM_g,30.4615,Vic,Phalaris_Ryegrass_Clover,0.85,4.0,2015/6/26
ID1954669045__Dry_Clover_g,ID1954669045,train/ID1954669045.jpg,Dry_Clover_g,6.859,Vic,Phalaris_Clover,0.78,2.8,2015/6/30
ID1954669045__Dry_Dead_g,ID1954669045,train/ID1954669045.jpg,Dry_Dead_g,10.469,Vic,Phalaris_Clover,0.78,2.8,2015/6/30
ID1954669045__Dry_Green_g,ID1954669045,train/ID1954669045.jpg,Dry_Green_g,18.772,Vic,Phalaris_Clover,0.78,2.8,2015/6/30
ID1954669045__Dry_Total_g,ID1954669045,train/ID1954669045.jpg,Dry_Total_g,36.1,Vic,Phalaris_Clover,0.78,2.8,2015/6/30
ID1954669045__GDM_g,ID1954669045,train/ID1954669045.jpg,GDM_g,25.631,Vic,Phalaris_Clover,0.78,2.8,2015/6/30
ID121331988__Dry_Clover_g,ID121331988,train/ID121331988.jpg,Dry_Clover_g,0.0,NSW,Fescue,0.75,8.0,2015/5/7
ID121331988__Dry_Dead_g,ID121331988,train/ID121331988.jpg,Dry_Dead_g,21.05,NSW,Fescue,0.75,8.0,2015/5/7
ID121331988__Dry_Green_g,ID121331988,train/ID121331988.jpg,Dry_Green_g,63.15,NSW,Fescue,0.75,8.0,2015/5/7
ID121331988__Dry_Total_g,ID121331988,train/ID121331988.jpg,Dry_Total_g,84.2,NSW,Fescue,0.75,8.0,2015/5/7
ID121331988__GDM_g,ID121331988,train/ID121331988.jpg,GDM_g,63.15,NSW,Fescue,0.75,8.0,2015/5/7
ID1746343319__Dry_Clover_g,ID1746343319,train/ID1746343319.jpg,Dry_Clover_g,0.6,Tas,Ryegrass_Clover,0.35,2.5,2015/11/9
ID1746343319__Dry_Dead_g,ID1746343319,train/ID1746343319.jpg,Dry_Dead_g,18.0,Tas,Ryegrass_Clover,0.35,2.5,2015/11/9
